filepath,title
/home/radiance/ego4d_dealt_data/frame_output_dir_1/8d206fe8-3270-4176-accb-05ecdf094e3a_frame_0.jpg, C stares at the room
/home/radiance/ego4d_dealt_data/frame_output_dir_1/b2cdc6c2-5ecc-4236-aae2-947cbf54fe49_frame_434.jpg, C marks points on the plywood with the marker in his left hand.
/home/radiance/ego4d_dealt_data/frame_output_dir_1/9cce57e5-456b-47b8-8386-0882bd840a47_frame_91.jpg, C walks around
/home/radiance/ego4d_dealt_data/frame_output_dir_1/9bf6a5c0-d58b-4997-8132-a1fa6f563ad2_frame_1412.jpg, The man J taps the card on the table with his right hand.
/home/radiance/ego4d_dealt_data/frame_output_dir_1/2560bb74-cad3-4ea6-b034-bea360d9507c_frame_721.jpg, C stops digging the soil with his hoe
/home/radiance/ego4d_dealt_data/frame_output_dir_1/33f04496-9bc2-4b65-986e-57cb74653725_frame_88.jpg, C paints on a paper
/home/radiance/ego4d_dealt_data/frame_output_dir_1/0ece1a2a-2da0-4b28-ac8c-bf9f04c0d17c_frame_914.jpg, C packs grain from the sack with his right hand.
/home/radiance/ego4d_dealt_data/frame_output_dir_1/e2dd39cb-63e2-4ebb-b99a-ad7ff579b048_frame_255.jpg, A man Y walks past C
/home/radiance/ego4d_dealt_data/frame_output_dir_1/ca1015d2-3e03-4cba-826e-5b822a076d4a_frame_245.jpg, C examines the book
/home/radiance/ego4d_dealt_data/frame_output_dir_1/d4fb2a98-af49-4616-b404-ea60d8c1e0bb_frame_171.jpg, C knits the fabric
/home/radiance/ego4d_dealt_data/frame_output_dir_1/dabe3ec5-21b9-462a-a30e-a442c6e6ee6c_frame_630.jpg, C smoothens the wood with a grinder machine
/home/radiance/ego4d_dealt_data/frame_output_dir_1/d73bb655-36f4-4718-99e5-04ea7e740be1_frame_723.jpg, the woman B sits on a chair.
/home/radiance/ego4d_dealt_data/frame_output_dir_1/8e58a7b3-43ef-406d-ad5d-901f83418261_frame_3244.jpg, C passes the paint tube in his right hand to his left hand.
/home/radiance/ego4d_dealt_data/frame_output_dir_1/1a58c3e1-e04c-40eb-974b-379773a18736_frame_83.jpg, C sits on the floor
/home/radiance/ego4d_dealt_data/frame_output_dir_1/3ce37765-7d70-4dd6-991c-a83286ba05b2_frame_709.jpg, C stares at the pieces of wood
/home/radiance/ego4d_dealt_data/frame_output_dir_1/e8c715ba-d198-4e89-b33f-6efb25750c2a_frame_10.jpg, C Puts the book on her laps
